Numero (col C),Debito - Cuenta (col F),Debito - Descripción (col G),AP - Cuenta (col F),AP - Descripción (col G)
5786,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5787,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5788,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5789,7395950100,OTROS REPUESTOS VARIOS        ,2205050000,MATERIA PRIMA                 
5790,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5791,1420501500,REPARACIONES LOCATIVAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5792,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5793,5145400000,FLOTA Y EQUIPO DE TRANSPORTE  ,2335960100,LEG CM FC                     
5794,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5795,0,A N U L A D O                 ,0,A N U L A D O                 
5796,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5797,7350150000,REPARACIONES LOCATIVAS        ,2335960100,LEG CM FC                     
5798,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5799,7350950000,OTROS                         ,2335960100,LEG CM FC                     
5800,7350950000,OTROS                         ,2335960100,LEG CM FC                     
5801,7350950000,OTROS                         ,2335960100,LEG CM FC                     
5802,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5803,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5804,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5805,1430102400,RECHAZO                       ,2205050000,MATERIA PRIMA                 
5806,5140100000,REGISTRO MERCANTIL            ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5807,1420355000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5808,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5809,1425100101,ABONOS Y FERTILIZANTES        ,2205050000,MATERIA PRIMA                 
5810,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5811,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5812,1425100101,ABONOS Y FERTILIZANTES        ,2205050000,MATERIA PRIMA                 
5813,7395250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5814,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5815,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5816,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5817,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5818,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5819,1430100100,ARROZ -EXCELSO                ,2205050000,MATERIA PRIMA                 
5820,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5821,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5822,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5823,5145400000,FLOTA Y EQUIPO DE TRANSPORTE  ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5824,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5825,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5826,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5827,7350150000,REPARACIONES LOCATIVAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5828,1430100100,ARROZ -EXCELSO                ,2205050000,MATERIA PRIMA                 
5829,1430100100,ARROZ -EXCELSO                ,2205050000,MATERIA PRIMA                 
5830,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5831,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5832,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5833,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5834,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5835,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5836,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5837,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5838,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5839,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5840,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5841,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5842,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5843,7335500000,TRANSPORTE FLETES Y ACARREOS  ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5844,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5845,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5846,7395350100,COMBUSTIBLE Y LUBRICANTES     ,5315200100,RETEFTE ASUMIDA               
5847,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5848,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5849,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5850,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5851,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5852,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5853,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5854,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5855,7345150000,MAQUINARIA Y EQUIPO           ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5856,5395950000,OTROS-POS Y SIN REQUISITOS DED,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5857,7335500000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5858,5140100000,REGISTRO MERCANTIL            ,5140150000,TRAMITES Y LICENCIAS          
5859,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5860,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5861,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5862,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5863,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5864,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5865,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5866,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5867,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5868,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5869,7350150000,REPARACIONES LOCATIVAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5870,7335500000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5871,5395950000,OTROS-POS Y SIN REQUISITOS DED,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5872,7335500000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5873,7345150000,MAQUINARIA Y EQUIPO           ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5874,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5875,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5876,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5877,5195050100,COMISIONES                    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5878,7205840000,GASTOS MEDICO Y DROGAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5879,7335350000,TELEFONO                      ,2335500000,SERVICIOS PUBLICOS            
5880,5135350000,TELEFONO                      ,2335500000,SERVICIOS PUBLICOS            
5881,6120070700,SERVICIO TRANSPORTE           ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5882,7320100000,CONSTRUCICONES Y EDIFICACIONES,2335400000,ARRENDAMIENTOS                
5883,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5884,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5885,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5886,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5887,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5888,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5889,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5890,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5891,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5892,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5893,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5894,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5895,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5896,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5897,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5898,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5899,5135050000,ASEO Y VIGILANCIA             ,2335950300,SERVICIOS DE ASEO Y VIGILANCIA
5900,1430100100,ARROZ -EXCELSO                ,2205050000,MATERIA PRIMA                 
5901,7310950000,OTROS                         ,2335250000,HONORARIOS                    
5902,7335600000,SERVICIO DE FUMIGACION        ,2335950600,SERVICIOS DE FUMIGACION       
5903,6120070700,SERVICIO TRANSPORTE           ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5904,5110250000,ASESORIA JURIDICA             ,2335250000,HONORARIOS                    
5905,7345150000,MAQUINARIA Y EQUIPO           ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5906,7345150000,MAQUINARIA Y EQUIPO           ,2335350000,SERVICIOS DE MANTENIMIENTO    
5907,7345150000,MAQUINARIA Y EQUIPO           ,2335350000,SERVICIOS DE MANTENIMIENTO    
5908,7350150000,REPARACIONES LOCATIVAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5909,7335500000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5910,6120070700,SERVICIO TRANSPORTE           ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5911,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5912,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5913,7335500000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5914,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5915,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5916,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5917,5140050000,NOTARIALES                    ,2335960100,LEG CM FC                     
5918,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5919,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5920,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5921,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5922,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5923,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5924,7205510000,DOTACION Y SUMINISTRO A TRABAJ,2335960100,LEG CM FC                     
5925,7395250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5926,7335300000,ENERGIA ELECTRICA             ,2335500000,SERVICIOS PUBLICOS            
5927,7335600000,SERVICIO DE FUMIGACION        ,2335950600,SERVICIOS DE FUMIGACION       
5928,7335600000,SERVICIO DE FUMIGACION        ,2335950600,SERVICIOS DE FUMIGACION       
5929,6120070700,SERVICIO TRANSPORTE           ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5930,1420103500,ASESORIA TECNICA              ,2335250000,HONORARIOS                    
5931,7345150000,MAQUINARIA Y EQUIPO           ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5932,7350150000,REPARACIONES LOCATIVAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5933,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5934,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5935,5155950100,PEAJES                        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5936,7345150000,MAQUINARIA Y EQUIPO           ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5937,7335500000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5938,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5939,7310950000,OTROS                         ,2335250000,HONORARIOS                    
5940,2205950000,PROVEEDORES SIN FACTURAR      ,2335400000,ARRENDAMIENTOS                
5941,5120100000,CONSTRUCCIONES Y EDIFICACIONES,2335400000,ARRENDAMIENTOS                
5942,7350150000,REPARACIONES LOCATIVAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5943,7350150000,REPARACIONES LOCATIVAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5944,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5945,5195200000,GASTOS DE REPRESENTACION Y REL,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5946,7335250000,ACUEDUCTO Y ALCANTARILLADO    ,2335500000,SERVICIOS PUBLICOS            
5947,6120070700,SERVICIO TRANSPORTE           ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5948,6120070700,SERVICIO TRANSPORTE           ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5949,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5950,7335100100,SERVICIOS TEMPORALES PARA EL M,2335950500,SERVICIIOS LOGISTICOS Y BODEGA
5951,5145250000,EQUIPO DE COMPUTACION Y COMUNI,2335350000,SERVICIOS DE MANTENIMIENTO    
5952,5135950300,SERVICIOS DE INTERNET         ,2335500000,SERVICIOS PUBLICOS            
5953,1420956000,CASINO Y RESTAURANTE          ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5954,1420550500,ALOJAMIENTO Y MANUTENCION     ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5955,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
5956,7345150000,MAQUINARIA Y EQUIPO           ,2335350000,SERVICIOS DE MANTENIMIENTO    
5957,5395950000,OTROS-POS Y SIN REQUISITOS DED,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5958,5235950500,SERVICIO LOGISTICO PALETIZADO ,2205050000,MATERIA PRIMA                 
5959,1405050100,MATERIAS PRIMAS PARA MAQUINAS ,2205050000,MATERIA PRIMA                 
5960,7205840000,GASTOS MEDICO Y DROGAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5961,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5962,1430102400,RECHAZO                       ,2205050000,MATERIA PRIMA                 
5963,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5964,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5965,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5966,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5967,7350150000,REPARACIONES LOCATIVAS        ,2335960100,LEG CM FC                     
5968,7205510000,DOTACION Y SUMINISTRO A TRABAJ,2335960100,LEG CM FC                     
5969,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5970,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5971,5145400000,FLOTA Y EQUIPO DE TRANSPORTE  ,2335960100,LEG CM FC                     
5972,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5973,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5974,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5975,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5976,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5977,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5978,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5979,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5980,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5981,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5982,7395250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5983,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5984,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
5985,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5986,6120070700,SERVICIO TRANSPORTE           ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5987,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5988,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5989,7335500000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5990,1420355000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5991,7350150000,REPARACIONES LOCATIVAS        ,2335960100,LEG CM FC                     
5992,7350150000,REPARACIONES LOCATIVAS        ,2335960100,LEG CM FC                     
5993,1430100100,ARROZ -EXCELSO                ,2205050000,MATERIA PRIMA                 
5994,7395300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5995,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5996,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5997,7395400000,ENVASES Y EMPAQUES            ,2335960100,LEG CM FC                     
5998,7350150000,REPARACIONES LOCATIVAS        ,2335960100,LEG CM FC                     
5999,7395250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
6000,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
6001,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
6002,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
6003,7395400000,ENVASES Y EMPAQUES            ,2205050000,MATERIA PRIMA                 
6004,7335950200,SERVICIOS DE LOGISTICA        ,2335950500,SERVICIIOS LOGISTICOS Y BODEGA
6005,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
6006,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
6007,1405050100,MATERIAS PRIMAS PARA MAQUINAS ,2205050000,MATERIA PRIMA                 
6008,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
6009,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
6010,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
6011,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
6012,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
6013,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
6014,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
6015,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
6016,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
6017,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
6018,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
6019,1420355000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
6020,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
6021,5140150000,TRAMITES Y LICENCIAS          ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
6022,7350150000,REPARACIONES LOCATIVAS        ,2205050000,MATERIA PRIMA                 
6023,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
6024,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
6025,5135400000,CORREO  PORTES Y TELEGRAMAS   ,2335960100,LEG CM FC                     
6026,7350150000,REPARACIONES LOCATIVAS        ,2335960100,LEG CM FC                     
6027,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
6028,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
6029,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
6030,1405100100,MATERIA PRIMA MOLINO          ,2205050000,MATERIA PRIMA                 
6031,1430100100,ARROZ -EXCELSO                ,2205050000,MATERIA PRIMA                 
6032,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
6033,1430100100,ARROZ -EXCELSO                ,2205050000,MATERIA PRIMA                 
6034,1425100101,ABONOS Y FERTILIZANTES        ,2205050000,MATERIA PRIMA                 
6035,7345150000,MAQUINARIA Y EQUIPO           ,2335350000,SERVICIOS DE MANTENIMIENTO    
6036,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
6037,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
6038,7335500000,TRANSPORTE FLETES Y ACARREOS  ,2335450000,TRANSPORTES  FLETES Y ACARREOS
6039,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
6040,7395950100,OTROS REPUESTOS VARIOS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
6041,1430100100,ARROZ -EXCELSO                ,2205050000,MATERIA PRIMA                 
6042,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
6043,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
6044,1420957500,MATERIALES                    ,2205050000,MATERIA PRIMA                 
6045,7350150000,REPARACIONES LOCATIVAS        ,2205050000,MATERIA PRIMA                 
6046,1420957500,MATERIALES                    ,2205050000,MATERIA PRIMA                 
6047,5110300000,ASESORIA FINANCIERA           ,2335250000,HONORARIOS                    
6048,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
6049,7350150000,REPARACIONES LOCATIVAS        ,2205050000,MATERIA PRIMA                 
6050,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
6051,7205510000,DOTACION Y SUMINISTRO A TRABAJ,2335960100,LEG CM FC                     
6052,7350150000,REPARACIONES LOCATIVAS        ,2335960100,LEG CM FC                     
6053,7345200000,EQUIPO DE OFICINA             ,2335960100,LEG CM FC                     
6054,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
6055,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
6056,7350150000,REPARACIONES LOCATIVAS        ,2335960100,LEG CM FC                     
6057,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
6058,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
6059,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
6060,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
6061,7350150000,REPARACIONES LOCATIVAS        ,2335960100,LEG CM FC                     
6062,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
6063,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
6064,7350100000,ARREGLOS ORNAMENTALES         ,2335960100,LEG CM FC                     
6065,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
6066,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
6067,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
6068,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
6069,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
6070,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
6071,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
6072,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
6073,5135500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
6074,7350150000,REPARACIONES LOCATIVAS        ,2335960100,LEG CM FC                     
6075,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
6076,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
6077,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
6078,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
6079,7335500000,TRANSPORTE FLETES Y ACARREOS  ,2335960100,LEG CM FC                     
6080,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
6081,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
6082,1420953500,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
